membership_id,membership_validity,membership_status
Smithc76776,2023-12-09,Valid
Wang041686,2023-12-09,Valid
Estrada0bf5b6,2023-12-09,Valid
Cline825fbf,2023-12-09,Valid
Williams3e7260,2023-12-09,Valid
Floresf68282,2023-12-09,Valid
Richardsonef158e,2023-12-09,Valid
Smith9625b7,2023-12-09,Valid
Gomez876bfa,2023-12-09,Valid
Rodriguez93ac7d,2023-12-09,Valid
Garcia26b559,2023-12-09,Valid
Garza401998,2023-12-09,Valid
Sanchez364a71,2023-12-09,Valid
Reed3bc346,2023-12-09,Valid
Armstronge2fb83,2023-12-09,Valid
Allison0c21b3,2023-12-09,Valid
Hall5eccdc,2023-12-09,Valid
Meza5bcfaa,2023-12-09,Valid
Turner0303a5,2023-12-09,Valid
Bauer18f681,2023-12-09,Valid
Randolph76c7ab,2023-12-09,Valid
Matthews2a414f,2023-12-09,Valid
Thompson8382b6,2023-12-09,Valid
Lee76ccec,2023-12-09,Valid
Pittman44c4de,2023-12-09,Valid
Ruiz1546f4,2023-12-09,Valid
Shaw45468f,2023-12-09,Valid
Millerd11a8a,2023-12-09,Valid
Anthonyebd30f,2023-12-09,Valid
Cantrellb19eba,2023-12-09,Valid
Guerrerod55cbf,2023-12-09,Valid
Nichols9226a5,2023-12-09,Valid
Galloway1a4d25,2023-12-09,Valid
Salazar88b5fe,2023-12-09,Valid
Sanfordc7e244,2023-12-09,Valid
Murphy0851c1,2023-12-09,Valid
Martin35f44d,2023-12-09,Valid
Jones3cea31,2023-12-09,Valid
Bishopb05061,2023-12-09,Valid
Meyers2871d7,2023-12-09,Valid
Stricklandc13f06,2023-12-09,Valid
Martin6f48d8,2023-12-09,Valid
Davis7d08db,2023-12-09,Valid
Taylor4fbc55,2023-12-09,Valid
Pierce133dc1,2023-12-09,Valid
Bradybd4315,2023-12-09,Valid
Rhodesdf2664,2023-12-09,Valid
Ramirez5ff322,2023-12-09,Valid
Thompson52cd0d,2023-12-09,Valid
Williams3b0d4b,2023-12-09,Valid
Aguilarad5a00,2023-12-09,Valid
Williamsb78352,2023-12-09,Valid
Johnsond53b73,2023-12-09,Valid
King011485,2023-12-09,Valid
Smith634dd6,2023-12-09,Valid
Gonzalez31e9ac,2023-12-09,Valid
Pierce68d7c0,2023-12-09,Valid
Walkerba5b70,2023-12-09,Valid
Alvarez7bc5d7,2023-12-09,Valid
Willisd0046a,2023-12-09,Valid
Klein431630,2023-12-09,Valid
Wilkins48a0ad,2023-12-09,Valid
Lynch495159,2023-12-09,Valid
Williamse69d3d,2023-12-09,Valid
Martin6cf84a,2023-12-09,Valid
Bright776f9a,2023-12-09,Valid
Anderson480714,2023-12-09,Valid
Frost5ba4ad,2023-12-09,Valid
Dunn8edbeb,2023-12-09,Valid
Dunn84e934,2023-12-09,Valid
Pierce1096d3,2023-12-09,Valid
Erickson6b9844,2023-12-09,Valid
Alif361fb,2023-12-09,Valid
Wilsonf06267,2023-12-09,Valid
Butlera60e8a,2023-12-09,Valid
Phillips01acdb,2023-12-09,Valid
Parker5ebc0a,2023-12-09,Valid
Walkera21bee,2023-12-09,Valid
Sanchezcf3c9f,2023-12-09,Valid
Martin7bf566,2023-12-09,Valid
King2f8a4c,2023-12-09,Valid
Mcdanielab5b4e,2023-12-09,Valid
Wigginsc46e01,2023-12-09,Valid
Smithe0b77c,2023-12-09,Valid
Smith216c57,2023-12-09,Valid
Love951978,2023-12-09,Valid
Lawrencefbccd6,2023-12-09,Valid
Sosa840059,2023-12-09,Valid
Jacksonb59430,2023-12-09,Valid
Hatfieldbf691b,2023-12-09,Valid
Phillipsc68d26,2023-12-09,Valid
Moore555b6e,2023-12-09,Valid
Peters6955e6,2023-12-09,Valid
Anderson6c12a8,2023-12-09,Valid
Hahn38908a,2023-12-09,Valid
Pereza30c9f,2023-12-09,Valid
Edwards96edd8,2023-12-09,Valid
Vargasb176f2,2023-12-09,Valid
Lewisf236bd,2023-12-09,Valid
Huff88806d,2023-12-09,Valid
Sancheza15360,2023-12-09,Valid
Richardsone102e7,2023-12-09,Valid
Moore4788f3,2023-12-09,Valid
Howard99bdb6,2023-12-09,Valid
Phillips3268fa,2023-12-09,Valid
Richardse1b0f7,2023-12-09,Valid
Thomasa6b2aa,2023-12-09,Valid
Bonilla07c60f,2023-12-09,Valid
Barber8e4483,2023-12-09,Valid
Johnson01409d,2023-12-09,Valid
Petersond30431,2023-12-09,Valid
Bautista06ca75,2023-12-09,Valid
Kruegerf41b09,2023-12-09,Valid
Oconnor5d9bea,2023-12-09,Valid
Johnson317e04,2023-12-09,Valid
Herrera2275e5,2023-12-09,Valid
Matthews33105e,2023-12-09,Valid
Kennedye1e076,2023-12-09,Valid
Lopezad64b2,2023-12-09,Valid
Clark850e22,2023-12-09,Valid
Kim616387,2023-12-09,Valid
Williams225d6e,2023-12-09,Valid
Haynesd74e4f,2023-12-09,Valid
Hicksc3ab0a,2023-12-09,Valid
Kennedyb93e8a,2023-12-09,Valid
Nelson49b517,2023-12-09,Valid
Glover9a7005,2023-12-09,Valid
Moorebd6b13,2023-12-09,Valid
Mcgee840079,2023-12-09,Valid
Hunterc76d06,2023-12-09,Valid
Perez016c79,2023-12-09,Valid
Odome87963,2023-12-09,Valid
II7ade82,2023-12-09,Valid
Brennanfbe294,2023-12-09,Valid
Miller5a80bf,2023-12-09,Valid
Hopkins7c2f6e,2023-12-09,Valid
Lara056220,2023-12-09,Valid
Garcia76b845,2023-12-09,Valid
Rhodesa5121a,2023-12-09,Valid
Bennett1ed65f,2023-12-09,Valid
Woodard0dee61,2023-12-09,Valid
Wheeler62b5fc,2023-12-09,Valid
Woods5e5f20,2023-12-09,Valid
Peterson9e7092,2023-12-09,Valid
Grant466943,2023-12-09,Valid
Johnsonaa25ec,2023-12-09,Valid
Howard45839a,2023-12-09,Valid
Morales0598c7,2023-12-09,Valid
Domingueze2663e,2023-12-09,Valid
Cardenas35ae46,2023-12-09,Valid
Santiago5cbec5,2023-12-09,Valid
Mclaughlinb2423f,2023-12-09,Valid
Portere9e423,2023-12-09,Valid
Smith750a97,2023-12-09,Valid
Wilson095400,2023-12-09,Valid
Clarkf30a35,2023-12-09,Valid
Josephf0dcb2,2023-12-09,Valid
Hernandezf32511,2023-12-09,Valid
Miller375ad4,2023-12-09,Valid
Newman069d11,2023-12-09,Valid
Romero7ffdeb,2023-12-09,Valid
Ramirez04ceb5,2023-12-09,Valid
Choie37de9,2023-12-09,Valid
Benderb8ade0,2023-12-09,Valid
Brown7bef75,2023-12-09,Valid
Dominguez821d78,2023-12-09,Valid
Morris1057d2,2023-12-09,Valid
Carlsond8db20,2023-12-09,Valid
Pierce7e42c1,2023-12-09,Valid
West0afbac,2023-12-09,Valid
Lyons5c73e9,2023-12-09,Valid
Butlerc810e3,2023-12-09,Valid
Peters4b936e,2023-12-09,Valid
Conwayb14b91,2023-12-09,Valid
Mccarty6f29c5,2023-12-09,Valid
Stewartc37651,2023-12-09,Valid
Jonese27fe8,2023-12-09,Valid
Shannon6484db,2023-12-09,Valid
Brown755720,2023-12-09,Valid
Bowers29d221,2023-12-09,Valid
Bailey5c8a50,2023-12-09,Valid
Cruza17c60,2023-12-09,Valid
Levy1b7392,2023-12-09,Valid
Burtone624b3,2023-12-09,Valid
Garciaea09c3,2023-12-09,Valid
Petersonc41f42,2023-12-09,Valid
Reilly1c829c,2023-12-09,Valid
Martinezd6f6b2,2023-12-09,Valid
Sanderse813fc,2023-12-09,Valid
Little9b0c82,2023-12-09,Valid
Harvey119d2d,2023-12-09,Valid
Hansendf29c3,2023-12-09,Valid
Ortiz84be03,2023-12-09,Valid
Hernandezbcb5b4,2023-12-09,Valid
Livingston192958,2023-12-09,Valid
Mason6bc9ba,2023-12-09,Valid
Cunningham12799d,2023-12-09,Valid
Smith894dd6,2023-12-09,Valid
Jennings18c5d8,2023-12-09,Valid
Vargased53f1,2023-12-09,Valid
Clark92a9e6,2023-12-09,Valid
Allen3a5186,2023-12-09,Valid
Carney0d73a5,2023-12-09,Valid
Spencerc60e69,2023-12-09,Valid
Stricklandc68d2c,2023-12-09,Valid
Smith5b12ee,2023-12-09,Valid
West15f40d,2023-12-09,Valid
Baldwinb34397,2023-12-09,Valid
Wilson51998e,2023-12-09,Valid
Cole2b0a2b,2023-12-09,Valid
Riley3e1f80,2023-12-09,Valid
Poole23f281,2023-12-09,Valid
Poole46b07d,2023-12-09,Valid
Ward57d0cf,2023-12-09,Valid
Smith8477eb,2023-12-09,Valid
Clayton6ad7dd,2023-12-09,Valid
Smith774d50,2023-12-09,Valid
Colemandb2598,2023-12-09,Valid
Butler198208,2023-12-09,Valid
Beckerdd3177,2023-12-09,Valid
Millerd8bf5f,2023-12-09,Valid
Baileyfac5da,2023-12-09,Valid
Gray00c0a7,2023-12-09,Valid
DVM6a7ce7,2023-12-09,Valid
Lewisafe1c4,2023-12-09,Valid
Owens4cd378,2023-12-09,Valid
Smith313dd8,2023-12-09,Valid
Lucasb2c401,2023-12-09,Valid
Murraya46c72,2023-12-09,Valid
Berryc02ad7,2023-12-09,Valid
Gross2742d7,2023-12-09,Valid
Hawkins8aa4f2,2023-12-09,Valid
Rodriguez84bf31,2023-12-09,Valid
Miller84bb3b,2023-12-09,Valid
Miller208dd6,2023-12-09,Valid
Davis3a81fe,2023-12-09,Valid
Kelley336bac,2023-12-09,Valid
Miller4e2a7e,2023-12-09,Valid
Montes29eaae,2023-12-09,Valid
Mclean3b78d3,2023-12-09,Valid
