date,year,month,day,total_confirmed_cases,prev_day_confirmed,daily_confirmed
2020-01-23,2020,1,23,1,0,1
2020-01-24,2020,1,24,3,1,2
2020-01-25,2020,1,25,3,3,0
2020-01-26,2020,1,26,4,3,1
2020-01-27,2020,1,27,5,4,1
2020-01-28,2020,1,28,7,5,2
2020-01-29,2020,1,29,7,7,0
2020-01-30,2020,1,30,10,7,3
2020-01-31,2020,1,31,13,10,3
2020-02-01,2020,2,1,16,13,3
2020-02-02,2020,2,2,18,16,2
2020-02-03,2020,2,3,18,18,0
2020-02-04,2020,2,4,24,18,6
2020-02-05,2020,2,5,28,24,4
2020-02-06,2020,2,6,28,28,0
2020-02-07,2020,2,7,30,28,2
2020-02-08,2020,2,8,33,30,3
2020-02-09,2020,2,9,40,33,7
2020-02-10,2020,2,10,45,40,5
2020-02-11,2020,2,11,47,45,2
2020-02-12,2020,2,12,50,47,3
2020-02-13,2020,2,13,58,50,8
2020-02-14,2020,2,14,67,58,9
2020-02-15,2020,2,15,72,67,5
2020-02-16,2020,2,16,75,72,3
2020-02-17,2020,2,17,77,75,2
2020-02-18,2020,2,18,81,77,4
2020-02-19,2020,2,19,84,81,3
2020-02-20,2020,2,20,84,84,0
2020-02-21,2020,2,21,85,84,1
2020-02-22,2020,2,22,85,85,0
2020-02-23,2020,2,23,89,85,4
2020-02-24,2020,2,24,89,89,0
2020-02-25,2020,2,25,91,89,2
2020-02-26,2020,2,26,93,91,2
2020-02-27,2020,2,27,93,93,0
2020-02-28,2020,2,28,93,93,0
2020-02-29,2020,2,29,102,93,9
2020-03-01,2020,3,1,106,102,4
2020-03-02,2020,3,2,108,106,2
2020-03-03,2020,3,3,110,108,2
2020-03-04,2020,3,4,110,110,0
2020-03-05,2020,3,5,117,110,7
2020-03-06,2020,3,6,130,117,13
2020-03-07,2020,3,7,138,130,8
2020-03-08,2020,3,8,150,138,12
2020-03-09,2020,3,9,150,150,0
2020-03-10,2020,3,10,160,150,10
2020-03-11,2020,3,11,178,160,18
2020-03-12,2020,3,12,178,178,0
2020-03-13,2020,3,13,200,178,22
2020-03-14,2020,3,14,212,200,12
2020-03-15,2020,3,15,226,212,14
2020-03-16,2020,3,16,243,226,17
2020-03-17,2020,3,17,266,243,23
2020-03-18,2020,3,18,313,266,47
2020-03-19,2020,3,19,345,313,32
2020-03-20,2020,3,20,385,345,40
2020-03-21,2020,3,21,432,385,47
2020-03-22,2020,3,22,455,432,23
2020-03-23,2020,3,23,509,455,54
2020-03-24,2020,3,24,558,509,49
2020-03-25,2020,3,25,631,558,73
2020-03-26,2020,3,26,683,631,52
2020-03-27,2020,3,27,732,683,49
2020-03-28,2020,3,28,802,732,70
2020-03-29,2020,3,29,844,802,42
2020-03-30,2020,3,30,879,844,35
2020-03-31,2020,3,31,926,879,47
2020-04-01,2020,4,1,1000,926,74
2020-04-02,2020,4,2,1049,1000,49
2020-04-03,2020,4,3,1114,1049,65
2020-04-04,2020,4,4,1189,1114,75
2020-04-05,2020,4,5,1309,1189,120
2020-04-06,2020,4,6,1375,1309,66
2020-04-07,2020,4,7,1481,1375,106
2020-04-08,2020,4,8,1623,1481,142
2020-04-09,2020,4,9,1910,1623,287
2020-04-10,2020,4,10,2108,1910,198
2020-04-11,2020,4,11,2299,2108,191
2020-04-12,2020,4,12,2532,2299,233
2020-04-13,2020,4,13,2918,2532,386
2020-04-14,2020,4,14,3252,2918,334
2020-04-15,2020,4,15,3699,3252,447
2020-04-16,2020,4,16,4427,3699,728
2020-04-17,2020,4,17,5050,4427,623
2020-04-18,2020,4,18,5992,5050,942
2020-04-19,2020,4,19,6588,5992,596
2020-04-20,2020,4,20,8014,6588,1426
2020-04-21,2020,4,21,9125,8014,1111
2020-04-22,2020,4,22,10141,9125,1016
2020-04-23,2020,4,23,11178,10141,1037
2020-04-24,2020,4,24,12075,11178,897
2020-04-25,2020,4,25,12693,12075,618
2020-04-26,2020,4,26,13624,12693,931
2020-04-27,2020,4,27,14423,13624,799
2020-04-28,2020,4,28,14951,14423,528
2020-04-29,2020,4,29,15641,14951,690
2020-04-30,2020,4,30,16169,15641,528
2020-05-01,2020,5,1,17101,16169,932
2020-05-02,2020,5,2,17548,17101,447
2020-05-03,2020,5,3,18205,17548,657
2020-05-04,2020,5,4,18778,18205,573
2020-05-05,2020,5,5,19410,18778,632
2020-05-06,2020,5,6,20198,19410,788
2020-05-07,2020,5,7,20939,20198,741
2020-05-08,2020,5,8,21707,20939,768
2020-05-09,2020,5,9,22460,21707,753
2020-05-10,2020,5,10,23336,22460,876
2020-05-11,2020,5,11,23822,23336,486
2020-05-12,2020,5,12,24671,23822,849
2020-05-13,2020,5,13,25346,24671,675
2020-05-14,2020,5,14,26098,25346,752
2020-05-15,2020,5,15,26891,26098,793
2020-05-16,2020,5,16,27356,26891,465
2020-05-17,2020,5,17,28038,27356,682
2020-05-18,2020,5,18,28343,28038,305
2020-05-19,2020,5,19,28794,28343,451
2020-05-20,2020,5,20,29364,28794,570
2020-05-21,2020,5,21,29812,29364,448
2020-05-22,2020,5,22,30426,29812,614
2020-05-23,2020,5,23,31068,30426,642
2020-05-24,2020,5,24,31616,31068,548
2020-05-25,2020,5,25,31960,31616,344
2020-05-26,2020,5,26,32343,31960,383
2020-05-27,2020,5,27,32876,32343,533
2020-05-28,2020,5,28,33249,32876,373
2020-05-29,2020,5,29,33860,33249,611
2020-05-30,2020,5,30,34366,33860,506
2020-05-31,2020,5,31,34884,34366,518
2020-06-01,2020,6,1,35292,34884,408
2020-06-02,2020,6,2,35836,35292,544
2020-06-03,2020,6,3,36405,35836,569
2020-06-04,2020,6,4,36922,36405,517
2020-06-05,2020,6,5,37183,36922,261
2020-06-06,2020,6,6,37527,37183,344
2020-06-07,2020,6,7,37910,37527,383
2020-06-08,2020,6,8,38296,37910,386
2020-06-09,2020,6,9,38514,38296,218
2020-06-10,2020,6,10,38965,38514,451
2020-06-11,2020,6,11,39387,38965,422
2020-06-12,2020,6,12,39850,39387,463
2020-06-13,2020,6,13,40197,39850,347
2020-06-14,2020,6,14,40604,40197,407
2020-06-15,2020,6,15,40818,40604,214
2020-06-16,2020,6,16,40969,40818,151
2020-06-17,2020,6,17,41216,40969,247
2020-06-18,2020,6,18,41473,41216,257
2020-06-19,2020,6,19,41615,41473,142
2020-06-20,2020,6,20,41833,41615,218
2020-06-21,2020,6,21,42095,41833,262
2020-06-22,2020,6,22,42313,42095,218
2020-06-23,2020,6,23,42432,42313,119
2020-06-24,2020,6,24,42623,42432,191
2020-06-25,2020,6,25,42736,42623,113
2020-06-26,2020,6,26,42955,42736,219
2020-06-27,2020,6,27,43246,42955,291
2020-06-28,2020,6,28,43459,43246,213
2020-06-29,2020,6,29,43661,43459,202
2020-06-30,2020,6,30,43907,43661,246
2020-07-01,2020,7,1,44122,43907,215
2020-07-02,2020,7,2,44310,44122,188
2020-07-03,2020,7,3,44479,44310,169
2020-07-04,2020,7,4,44664,44479,185
2020-07-05,2020,7,5,44800,44664,136
2020-07-06,2020,7,6,44983,44800,183
2020-07-07,2020,7,7,45140,44983,157
2020-07-08,2020,7,8,45298,45140,158
2020-07-09,2020,7,9,45423,45298,125
2020-07-10,2020,7,10,45614,45423,191
2020-07-11,2020,7,11,45783,45614,169
2020-07-12,2020,7,12,45961,45783,178
2020-07-13,2020,7,13,46283,45961,322
2020-07-14,2020,7,14,46630,46283,347
2020-07-15,2020,7,15,46878,46630,248
2020-07-16,2020,7,16,47126,46878,248
2020-07-17,2020,7,17,47453,47126,327
2020-07-18,2020,7,18,47655,47453,202
2020-07-19,2020,7,19,47912,47655,257
2020-07-20,2020,7,20,48035,47912,123
2020-07-21,2020,7,21,48434,48035,399
2020-07-22,2020,7,22,48744,48434,310
2020-07-23,2020,7,23,49098,48744,354
2020-07-24,2020,7,24,49375,49098,277
2020-07-25,2020,7,25,49888,49375,513
2020-07-26,2020,7,26,50369,49888,481
2020-07-27,2020,7,27,50838,50369,469
2020-07-28,2020,7,28,51197,50838,359
2020-07-29,2020,7,29,51531,51197,334
2020-07-30,2020,7,30,51809,51531,278
2020-07-31,2020,7,31,52205,51809,396
2020-08-01,2020,8,1,52512,52205,307
2020-08-02,2020,8,2,52825,52512,313
2020-08-03,2020,8,3,53051,52825,226
2020-08-04,2020,8,4,53346,53051,295
2020-08-05,2020,8,5,54254,53346,908
2020-08-06,2020,8,6,54555,54254,301
2020-08-07,2020,8,7,54797,54555,242
2020-08-08,2020,8,8,54929,54797,132
2020-08-09,2020,8,9,55104,54929,175
2020-08-10,2020,8,10,55292,55104,188
2020-08-11,2020,8,11,55353,55292,61
2020-08-12,2020,8,12,55395,55353,42
2020-08-13,2020,8,13,55497,55395,102
2020-08-14,2020,8,14,55580,55497,83
2020-08-15,2020,8,15,55661,55580,81
2020-08-16,2020,8,16,55747,55661,86
2020-08-17,2020,8,17,55838,55747,91
2020-08-18,2020,8,18,55938,55838,100
2020-08-19,2020,8,19,56031,55938,93
2020-08-20,2020,8,20,56099,56031,68
2020-08-21,2020,8,21,56216,56099,117
2020-08-22,2020,8,22,56266,56216,50
2020-08-23,2020,8,23,56353,56266,87
2020-08-24,2020,8,24,56404,56353,51
2020-08-25,2020,8,25,56435,56404,31
2020-08-26,2020,8,26,56495,56435,60
2020-08-27,2020,8,27,56572,56495,77
2020-08-28,2020,8,28,56666,56572,94
2020-08-29,2020,8,29,56717,56666,51
2020-08-30,2020,8,30,56771,56717,54
2020-08-31,2020,8,31,56812,56771,41
2020-09-01,2020,9,1,56852,56812,40
2020-09-02,2020,9,2,56860,56852,8
2020-09-03,2020,9,3,56908,56860,48
2020-09-04,2020,9,4,56948,56908,40
2020-09-05,2020,9,5,56982,56948,34
2020-09-06,2020,9,6,57022,56982,40
2020-09-07,2020,9,7,57044,57022,22
2020-09-08,2020,9,8,57091,57044,47
2020-09-09,2020,9,9,57166,57091,75
2020-09-10,2020,9,10,57229,57166,63
2020-09-11,2020,9,11,57315,57229,86
2020-09-12,2020,9,12,57357,57315,42
2020-09-13,2020,9,13,57406,57357,49
2020-09-14,2020,9,14,57454,57406,48
2020-09-15,2020,9,15,57488,57454,34
2020-09-16,2020,9,16,57514,57488,26
2020-09-17,2020,9,17,57532,57514,18
2020-09-18,2020,9,18,57543,57532,11
2020-09-19,2020,9,19,57558,57543,15
2020-09-20,2020,9,20,57576,57558,18
2020-09-21,2020,9,21,57606,57576,30
2020-09-22,2020,9,22,57627,57606,21
2020-09-23,2020,9,23,57639,57627,12
2020-09-24,2020,9,24,57654,57639,15
2020-09-25,2020,9,25,57665,57654,11
2020-09-26,2020,9,26,57685,57665,20
2020-09-27,2020,9,27,57700,57685,15
2020-09-28,2020,9,28,57715,57700,15
2020-09-29,2020,9,29,57742,57715,27
2020-09-30,2020,9,30,57765,57742,23
2020-10-01,2020,10,1,57784,57765,19
2020-10-02,2020,10,2,57794,57784,10
2020-10-03,2020,10,3,57800,57794,6
2020-10-04,2020,10,4,57812,57800,12
2020-10-05,2020,10,5,57819,57812,7
2020-10-06,2020,10,6,57830,57819,11
2020-10-07,2020,10,7,57840,57830,10
2020-10-08,2020,10,8,57849,57840,9
2020-10-09,2020,10,9,57859,57849,10
2020-10-10,2020,10,10,57866,57859,7
2020-10-11,2020,10,11,57876,57866,10
2020-10-12,2020,10,12,57880,57876,4
2020-10-13,2020,10,13,57884,57880,4
2020-10-14,2020,10,14,57889,57884,5
2020-10-15,2020,10,15,57892,57889,3
2020-10-16,2020,10,16,57901,57892,9
2020-10-17,2020,10,17,57904,57901,3
2020-10-18,2020,10,18,57911,57904,7
2020-10-19,2020,10,19,57915,57911,4
2020-10-20,2020,10,20,57921,57915,6
2020-10-21,2020,10,21,57933,57921,12
2020-10-22,2020,10,22,57941,57933,8
2020-10-23,2020,10,23,57951,57941,10
2020-10-24,2020,10,24,57965,57951,14
2020-10-25,2020,10,25,57970,57965,5
2020-10-26,2020,10,26,57973,57970,3
2020-10-27,2020,10,27,57980,57973,7
2020-10-28,2020,10,28,57987,57980,7
2020-10-29,2020,10,29,57994,57987,7
2020-10-30,2020,10,30,58003,57994,9
2020-10-31,2020,10,31,58015,58003,12
2020-11-01,2020,11,1,58019,58015,4
2020-11-02,2020,11,2,58020,58019,1
2020-11-03,2020,11,3,58029,58020,9
2020-11-04,2020,11,4,58036,58029,7
2020-11-05,2020,11,5,58043,58036,7
2020-11-06,2020,11,6,58047,58043,4
2020-11-07,2020,11,7,58054,58047,7
2020-11-08,2020,11,8,58056,58054,2
2020-11-09,2020,11,9,58064,58056,8
2020-11-10,2020,11,10,58073,58064,9
2020-11-11,2020,11,11,58091,58073,18
2020-11-12,2020,11,12,58102,58091,11
2020-11-13,2020,11,13,58114,58102,12
2020-11-14,2020,11,14,58116,58114,2
2020-11-15,2020,11,15,58119,58116,3
2020-11-16,2020,11,16,58124,58119,5
2020-11-17,2020,11,17,58130,58124,6
2020-11-18,2020,11,18,58135,58130,5
2020-11-19,2020,11,19,58139,58135,4
2020-11-20,2020,11,20,58143,58139,4
2020-11-21,2020,11,21,58148,58143,5
2020-11-22,2020,11,22,58160,58148,12
2020-11-23,2020,11,23,58165,58160,5
2020-11-24,2020,11,24,58183,58165,18
2020-11-25,2020,11,25,58190,58183,7
2020-11-26,2020,11,26,58195,58190,5
2020-11-27,2020,11,27,58199,58195,4
2020-11-28,2020,11,28,58205,58199,6
2020-11-29,2020,11,29,58213,58205,8
2020-11-30,2020,11,30,58218,58213,5
2020-12-01,2020,12,1,58228,58218,10
2020-12-02,2020,12,2,58230,58228,2
2020-12-03,2020,12,3,58239,58230,9
2020-12-04,2020,12,4,58242,58239,3
2020-12-05,2020,12,5,58255,58242,13
2020-12-06,2020,12,6,58260,58255,5
2020-12-07,2020,12,7,58273,58260,13
2020-12-08,2020,12,8,58285,58273,12
2020-12-09,2020,12,9,58291,58285,6
2020-12-10,2020,12,10,58297,58291,6
2020-12-11,2020,12,11,58305,58297,8
2020-12-12,2020,12,12,58313,58305,8
2020-12-13,2020,12,13,58320,58313,7
2020-12-14,2020,12,14,58325,58320,5
2020-12-15,2020,12,15,58341,58325,16
2020-12-16,2020,12,16,58353,58341,12
2020-12-17,2020,12,17,58377,58353,24
2020-12-18,2020,12,18,58386,58377,9
2020-12-19,2020,12,19,58403,58386,17
2020-12-20,2020,12,20,58422,58403,19
2020-12-21,2020,12,21,58432,58422,10
2020-12-22,2020,12,22,58461,58432,29
2020-12-23,2020,12,23,58482,58461,21
2020-12-24,2020,12,24,58495,58482,13
2020-12-25,2020,12,25,58509,58495,14
2020-12-26,2020,12,26,58519,58509,10
2020-12-27,2020,12,27,58524,58519,5
2020-12-28,2020,12,28,58529,58524,5
2020-12-29,2020,12,29,58542,58529,13
2020-12-30,2020,12,30,58569,58542,27
2020-12-31,2020,12,31,58599,58569,30
2021-01-01,2021,1,1,58629,58599,30
2021-01-02,2021,1,2,58662,58629,33
2021-01-03,2021,1,3,58697,58662,35
2021-01-04,2021,1,4,58721,58697,24
2021-01-05,2021,1,5,58749,58721,28
2021-01-06,2021,1,6,58780,58749,31
2021-01-07,2021,1,7,58813,58780,33
2021-01-08,2021,1,8,58836,58813,23
2021-01-09,2021,1,9,58865,58836,29
2021-01-10,2021,1,10,58907,58865,42
2021-01-11,2021,1,11,58929,58907,22
2021-01-12,2021,1,12,58946,58929,17
2021-01-13,2021,1,13,58984,58946,38
2021-01-14,2021,1,14,59029,58984,45
2021-01-15,2021,1,15,59059,59029,30
2021-01-16,2021,1,16,59083,59059,24
2021-01-17,2021,1,17,59113,59083,30
2021-01-18,2021,1,18,59127,59113,14
2021-01-19,2021,1,19,59157,59127,30
2021-01-20,2021,1,20,59197,59157,40
2021-01-21,2021,1,21,59235,59197,38
2021-01-22,2021,1,22,59250,59235,15
2021-01-23,2021,1,23,59260,59250,10
2021-01-24,2021,1,24,59308,59260,48
2021-01-25,2021,1,25,59352,59308,44
2021-01-26,2021,1,26,59366,59352,14
2021-01-27,2021,1,27,59391,59366,25
2021-01-28,2021,1,28,59425,59391,34
2021-01-29,2021,1,29,59449,59425,24
2021-01-30,2021,1,30,59507,59449,58
2021-01-31,2021,1,31,59536,59507,29
2021-02-01,2021,2,1,59565,59536,29
2021-02-02,2021,2,2,59584,59565,19
2021-02-03,2021,2,3,59602,59584,18
2021-02-04,2021,2,4,59624,59602,22
2021-02-05,2021,2,5,59649,59624,25
2021-02-06,2021,2,6,59675,59649,26
2021-02-07,2021,2,7,59699,59675,24
2021-02-08,2021,2,8,59721,59699,22
2021-02-09,2021,2,9,59732,59721,11
2021-02-10,2021,2,10,59747,59732,15
2021-02-11,2021,2,11,59759,59747,12
2021-02-12,2021,2,12,59777,59759,18
2021-02-13,2021,2,13,59786,59777,9
2021-02-14,2021,2,14,59800,59786,14
2021-02-15,2021,2,15,59809,59800,9
2021-02-16,2021,2,16,59810,59809,1
2021-02-17,2021,2,17,59821,59810,11
2021-02-18,2021,2,18,59832,59821,11
2021-02-19,2021,2,19,59846,59832,14
2021-02-20,2021,2,20,59858,59846,12
2021-02-21,2021,2,21,59869,59858,11
2021-02-22,2021,2,22,59879,59869,10
2021-02-23,2021,2,23,59883,59879,4
2021-02-24,2021,2,24,59890,59883,7
2021-02-25,2021,2,25,59900,59890,10
2021-02-26,2021,2,26,59913,59900,13
2021-02-27,2021,2,27,59925,59913,12
2021-02-28,2021,2,28,59936,59925,11
2021-03-01,2021,3,1,59948,59936,12
2021-03-02,2021,3,2,59956,59948,8
2021-03-03,2021,3,3,59979,59956,23
2021-03-04,2021,3,4,59998,59979,19
2021-03-05,2021,3,5,60007,59998,9
2021-03-06,2021,3,6,60020,60007,13
2021-03-07,2021,3,7,60033,60020,13
